X,Y
6.08,-8.09
-1.75,3.72
7.11,-9.98
8.6,1.46
4.99,-8.02
7.97,-9.07
-1.86,5.19
6.92,-6.59
8.26,0.32
-3.24,4.71
8.88,0.41
-1.91,5.43
7.11,-7.54
7.11,-7.18
6.33,-8.82
9.12,2.29
8.57,-0.24
-2.04,2.82
8.35,-6.95
10.59,-1.2
-1.8,5.08
6.18,-8.01
6.16,-8.55
-1.9,4.61
6.28,-7.11
-1.83,3.89
9.5,0.49
8.71,-0.18
-0.75,3.95
-4.01,4.87
10.23,0.08
-0.36,4.95
6.05,-7.44
-3.32,6.06
6.48,-6.24
5.27,-8.3
6.45,-6.65
10.14,0.57
8.4,0.32
10.98,1.26
7.99,0.43
9.5,0.81
7.53,-1.37
-0.11,5.11
6.75,-9.34
-0.84,4.19
10.96,-0.06
6.29,-8.15
9.9,0.8
7.98,0.07
-1.9,3.23
7.85,-1.53
9.36,0.68
-1.25,6.15
7.44,-6.91
-1.31,5.02
10.12,-0.79
-1.14,4.72
10.29,-1.0
8.6,0.45
9.4,-1.0
-1.52,4.43
7.99,-8.28
6.51,-8.7
-3.0,4.8
6.69,-7.99
9.13,0.68
9.37,0.24
8.9,-1.35
5.53,-6.87
-1.13,5.3
0.34,3.83
-1.26,4.66
-0.45,4.93
5.94,-7.32
10.93,1.07
-1.15,3.55
7.06,-7.07
6.7,-7.93
-3.14,3.19
-1.87,5.09
-3.61,5.49
9.27,-1.14
6.19,-6.84
6.18,-7.92
6.68,-6.77
9.4,0.73
6.67,-6.58
-1.57,4.53
-1.32,5.44
-1.9,1.92
-1.43,3.99
5.82,-7.87
-1.28,4.43
5.4,-7.55
9.08,-0.9
9.38,-1.49
-1.49,6.87
5.21,-7.06
-0.13,5.13
6.19,-7.02
-1.44,3.63
8.08,-8.52
5.75,-8.24
-2.51,3.64
-1.69,3.19
-1.24,5.08
-1.72,6.89
8.59,-1.37
8.89,-0.92
-0.41,7.34
6.66,-7.17
7.15,-7.6
-1.34,4.3
9.17,-0.14
10.41,-1.51
-1.71,6.37
-1.71,3.3
7.39,-0.02
10.13,-1.6
9.47,0.62
9.06,1.45
-1.88,5.78
6.88,-6.79
4.4,-7.6
-1.31,5.52
-3.95,3.82
-1.47,4.54
9.27,0.27
-0.82,4.97
-0.88,8.3
9.98,0.18
7.75,-7.89
5.74,-8.0
-2.87,4.4
-3.55,6.2
9.74,-0.5
-0.55,5.51
5.61,-6.53
7.68,-9.09
7.1,-7.14
6.5,-5.76
7.86,-1.34
9.22,0.32
9.11,-1.13
9.17,0.67
8.9,-1.23
5.45,-7.66
6.1,-7.82
9.24,-0.34
9.11,-1.13
10.14,0.39
8.28,-6.45
5.34,-7.23
9.75,-0.46
9.56,-1.57
8.05,-0.66
7.56,-8.06
-1.11,4.96
6.29,-7.75
0.3,5.15
-1.69,4.54
5.98,-7.28
-2.09,4.6
7.2,-8.03
9.95,0.59
-2.58,3.68
9.64,1.97
-0.07,5.18
7.78,1.39
-2.67,3.77
9.14,0.2
9.53,-0.06
6.77,-7.24
9.62,1.3
9.84,-0.05
-1.17,6.46
-2.09,4.7
-1.38,4.87
-1.83,5.56
-2.64,5.79
7.16,-7.3
7.6,-6.96
7.67,-8.47
10.37,-0.97
-2.59,6.07
8.53,-7.68
6.66,-6.75
9.54,-1.18
5.69,-6.01
5.45,-7.06
12.01,0.03
7.08,-8.01
7.07,-7.37
4.99,-6.75
-1.98,5.82
5.89,-6.19
10.59,-0.39
9.69,0.63
9.55,-2.56
