url,ad_title,ad_price,ad_type,Xonalar soni,Umumiy maydon,Qavati,Uy qavatliligi,Sanuzel,Mebelli,Kvartirada bor,Yaqinida joylashgan,Vositachilik haqqi,ad_description,Yashash maydoni,Oshxona maydoni,Qurilish turi,Rejasi,Qurilgan yili,Shiftining balandligi,Taʼmiri
https://www.olx.uz/d/oz/obyavlenie/sdaetsya-kvartira-na-shaxristanskoj-yunusabad-ID3SHDF.html,Сдается квартира на Шахристанской ( Юнусабад),7 704 300 so’m,Jismoniy shaxs,3 ,68,4 ,9 ,Aralash,Ha,"Internet, Telefon, Muzlatkich, Televizor, Konditsioner, Kabelli TV, Kir yuvish mashinasi, Oshxona, Balkon","Bolalar maydonchasi, Bolalar bogʻchasi, Bekatlar, Park, yashil zona, Koʻngilochar muassasalar, Restoran, kafelar, turargoh, Supermarket, doʻkonlar",Yo’q,"TavsifЗх комн. 4этаж 9ти этажного дома

Свежий ремонт. Рядом метро,Корзинка, в 2х остановках овощной базар,Универсам и много других маркетов.

Сдается только на длительный срок,  без детей и животных.

Меблирована,полностью оборудована для проживания. Имеется интернет, кондиционер, холодильник, посуда,стиральная машина, телевизор, пылесос,  микроволновая печь.

600 & + депозит 300&

Просьба маклерам, риэлторам и другим посредникам, не звонить!",,,,,,,
https://www.olx.uz/d/oz/obyavlenie/qarshidan-chevarni-oldidan-kvartira-qizlarga-va-yosh-oilaga-ID3SNkE.html,Qarshidan chevarni oldidan kvartira qizlarga va yosh oilaga,"350 000 so’mKelishilgan
",Jismoniy shaxs,3 ,150,2 ,4 ,Alohida,Ha,"Telefon, Kabelli TV, Internet, Konditsioner, Balkon, Televizor, Oshxona, Muzlatkich, Kir yuvish mashinasi","Bolalar maydonchasi, Maktab, Koʻngilochar muassasalar, Kasalxona, poliklinika, Supermarket, doʻkonlar, Park, yashil zona, Bekatlar, turargoh, Bolalar bogʻchasi, Restoran, kafelar",Yo’q,"TavsifQarshi shahardan chevarni oldidan qizlarga va yosh oilaga sheriklika kvartira bor hamma sharoitlari bor narxini kelishamiz 
+998914550491",120 m²,25 m²,Gʻishtli,Alohida ajratilgan,2017,4,Evrotaʼmir
https://www.olx.uz/d/oz/obyavlenie/buxoro-sh-shark-1-fatxobod-kuchasi-43-uj-21-xona-izharaga-beriladi-ID3M2Qq.html,Бухоро ш. Шарк 1 Фатхобод кучаси 43-уй  21-хона  ижарага берилади,4 494 175 so’m,Jismoniy shaxs,2 ,52,1 ,4 ,Alohida,Ha,"Muzlatkich, Kir yuvish mashinasi, Internet, Kabelli TV, Konditsioner, Balkon, Televizor, Oshxona","Maktab, Supermarket, doʻkonlar, Park, yashil zona, Kasalxona, poliklinika, turargoh, Bekatlar, Bolalar bogʻchasi, Restoran, kafelar, Bolalar maydonchasi, Koʻngilochar muassasalar",Yo’q,TavsifЯнги гиштли дом евроремонт. Хона тулик мебел ва ошхона жихозлари бн  жихозланган.  Ёш оилага ижарага берилади. Ижара нархи килишилган холда.,48 m²,,Gʻishtli,Alohida ajratilgan,2011 - 2014,3.20,Evrotaʼmir
https://www.olx.uz/d/oz/obyavlenie/a29-sdaetsya-2-3-10-na-massive-feruza-or-r-eko-bazar-ID3GA1o.html,"А29. СДАЕТСЯ 2/3/10 на Массиве Феруза, ор-р Эко Базар.","6 407 410 so’mKelishilgan
",Biznes,2 ,63,3 ,9 ,Alohida,Ha,"Internet, Telefon, Muzlatkich, Televizor, Konditsioner, Kabelli TV, Kir yuvish mashinasi, Oshxona, Balkon","Kasalxona, poliklinika, Bolalar maydonchasi, Bolalar bogʻchasi, Bekatlar, Park, yashil zona, Koʻngilochar muassasalar, Restoran, kafelar, turargoh, Supermarket, doʻkonlar, Maktab",Bor,"TavsifАдрес; Мирзо-Улугбекский р-н .Массив Феруза, ор-р Эко Базар
— 2 комнаты
— 3 этаж
— 9 этажей

Общая площадь:  63  кв

Рядом есть: ТЦ Атлас, ТЦ Чимган, ЭКО базар, Кафе Бон, КФС, Парк Локоматив, Petro Sistem.

Звоните, имеются альтернативные варианты по всему городу!

(ТЕЛ)  +998.99.799.03.33

С уважением,
Ваш эксперт по недвижимости",,,Gʻishtli,Alohida ajratilgan,,3,Evrotaʼmir
https://www.olx.uz/d/oz/obyavlenie/shayxontohur-350-ijaraga-ID3T1eD.html,Shayxontohur 350 ijaraga,4 494 175 so’m,Biznes,2 ,60,2 ,7 ,Alohida,Yoʻq,"Telefon, Kabelli TV, Internet, Konditsioner, Balkon, Televizor, Oshxona, Muzlatkich, Kir yuvish mashinasi",,Yo’q,"TavsifАренда квартиры Саракулька сзади Северного возкала 1 комнатная , евро ремонт , 2 этаж , этажность 7 новостройка , есть депозит
Narxi 350 
Telefon nomer 
+998939681398

Tel qiling bizda oilaga bollarga qizlarga bezmakler kvlar bor",45 m²,,Gʻishtli,Alohida ajratilgan,2016,,Evrotaʼmir
https://www.olx.uz/d/oz/obyavlenie/a29-sdaetsya-3-4-9-na-yunusabadskij-r-n-metro-shaxristan-ID3GA2t.html,А29. СДАЕТСЯ 3/4/9 на Юнусабадский  р-н .Метро Шахристан.,"6 407 410 so’mKelishilgan
",Biznes,3 ,52,4 ,9 ,Aralash,Ha,"Internet, Telefon, Muzlatkich, Televizor, Konditsioner, Kabelli TV, Kir yuvish mashinasi, Oshxona, Balkon","Kasalxona, poliklinika, Bolalar maydonchasi, Bolalar bogʻchasi, Bekatlar, Park, yashil zona, Koʻngilochar muassasalar, Restoran, kafelar, turargoh, Supermarket, doʻkonlar, Maktab",Bor,"TavsifАдрес;Юнусабадский  р-н .Шахристанская, Станция Шахристан.
— 3 комнаты
— 4 этаж
— 9 этажей

Общая площадь:  52  кв

Рядом есть: Мега Планет, Макро, Алока Банк, Look, Станция Шахристанская, Станция Юнусабад, Халк Банки, Асака Банк, Max Way, ТЦ Mega Planet, Look, Сафия, Street 77, НБУ Банк, Apexpizza

Звоните, имеются альтернативные варианты по всему городу!

(ТЕЛ)  +998.99.799.03.33

С уважением,
Ваш эксперт по недвижимости",,,Gʻishtli,Alohida ajratilgan,,3,Evrotaʼmir
https://www.olx.uz/d/oz/obyavlenie/sdam-kvartiru-na-dolgij-srok-na-parkentskom-parkent-plaza-3-3-9-87m2-ID3Sz1f.html,Сдам квартиру на долгий срок на Паркентском Parkent plaza 3/3/9 87m2,"11 556 450 so’mKelishilgan
",Biznes,3 ,86,3 ,9 ,Aralash,Ha,"Telefon, Kabelli TV, Internet, Konditsioner, Balkon, Televizor, Oshxona, Muzlatkich, Kir yuvish mashinasi",,Yo’q,"TavsifАренда 3/3/9 Паркентский, новостройка ЖК Parkent Plaza, 86 кв., евроремонт, обстановкой, 
цена 900 ey
Все подробности по телефону Руслан 996038088",,,Gʻishtli,Alohida ajratilgan,,,Mualliflik loyihasi
https://www.olx.uz/d/oz/obyavlenie/a29-srochno-sdaetsya-uyutnaya-kv-2-1-9-na-chilanzarskom-r-ne-11-kvartal-ID3HJR3.html,"А29.Срочно сдается уютная кв 2/1/9 на Чиланзарском р-не,11 квартал!!!",6 407 410 so’m,Biznes,2 ,68,1 ,9 ,Aralash,Ha,"Internet, Telefon, Muzlatkich, Televizor, Konditsioner, Kabelli TV, Kir yuvish mashinasi, Oshxona, Balkon","Kasalxona, poliklinika, Bolalar maydonchasi, Bolalar bogʻchasi, Bekatlar, Park, yashil zona, Koʻngilochar muassasalar, Restoran, kafelar, turargoh, Supermarket, doʻkonlar, Maktab",Bor,"TavsifАдрес; ул Катартал
Район; Чиланзарский 
Ориентир; Ок-тепа лаваш

— 2 комнаты
— 1 этаж
— 9 этажей

Общая площадь: 68 кв

Рядом есть: Станция Чиланзар, КФС, Давр Банк, Турон Банк, ТЦ Парус, Oqtepa Lavash, ТЦ Magnum, ТЦ Медиапарк, Корзинка.

Звоните, имеются альтернативные варианты по всему городу!

(ТЕЛ) +.998.99.799.03.33

С уважением,
Ваш эксперт по недвижимости!",,,Monolitli,Alohida ajratilgan,,,Evrotaʼmir
https://www.olx.uz/d/oz/obyavlenie/a29-sdayu-shikarnuyu-kv-2-3-9-na-yunusabade-or-r-metro-minor-ID3K2Vs.html,"А29. Сдаю ШИКАРНУЮ кв 2/3/9 на Юнусабаде, ор-р: метро Минор !!!",6 407 410 so’m,Biznes,2 ,66,3 ,9 ,Aralash,Ha,"Internet, Telefon, Muzlatkich, Televizor, Konditsioner, Kabelli TV, Kir yuvish mashinasi, Oshxona, Balkon","Kasalxona, poliklinika, Bolalar maydonchasi, Bolalar bogʻchasi, Bekatlar, Park, yashil zona, Koʻngilochar muassasalar, Restoran, kafelar, turargoh, Supermarket, doʻkonlar, Maktab",Bor,"TavsifРайон: Юнусабадский
Адрес: Ц6
Ориентир: метро Минор

Комнат: 2
Этаж: 3
Этажность: 9
Площадь: 66 кв.м.

Рядом есть: ТЦ Мегапланет, LOOk, метро Юнусабад, Шахристанский, Телебашня, Дисней ленд, 5минут до Бадамзар, Ц4,Ц5

Звоните, имеются альтернативные варианты! В базе более 10 тысяч объектов по городу Ташкент.

(ТЕЛ) +.998.99.799.03.33

Эксперт по недвижимости
Компания ""Unique Estate''",,,Panelli,Alohida ajratilgan,,,Evrotaʼmir
https://www.olx.uz/d/oz/obyavlenie/yashnabad-tuzel-2-komn-64-m-etazh-5-9-bx-025-ID3Sz1e.html,Яшнабад • Тузель • 2-комн • 64 м² • этаж 5/9 • [БХ :025],6 420 250 so’m,Biznes,2 ,64,5 ,9 ,Alohida,Ha,"Internet, Telefon, Muzlatkich, Televizor, Konditsioner, Kabelli TV, Kir yuvish mashinasi, Oshxona, Balkon","Kasalxona, poliklinika, Maktab, Bolalar maydonchasi, Bolalar bogʻchasi, Bekatlar, Park, yashil zona, Koʻngilochar muassasalar, Restoran, kafelar, turargoh, Supermarket, doʻkonlar",Bor,"Tavsif[БХ: 025]
Уникальное предложение аренды в Яшнабадском районе

Район: Яшнабадский
Адрес: Тузель
Ориентир: школа-255

Основные характеристики:
- Тип квартиры: 2-комнатная
- Этаж: 5 из 9
- Площадь: 64 м²
- Состояние: Полностью с мебелью и техникой

Инфраструктура и удобства:
- В пешей доступности: торговые центры, банки, магазины, аптеки, кофейни, рестораны, кафе быстрого питания
- Образовательные учреждения: общеобразовательная средняя школа и детские сады

Контакты для связи:
- Телефон: +998.335.000.335 (с 10:00 до 19:00)

Дополнительная информация:
- Доступны альтернативные варианты. В нашем портфеле более 30,000 объектов по городу!
- Посмотрите эксклюзивные предложения в нашем телеграм-канале: t.me/top100rent или наберите t.me/top100arenda

С уважением, ""Бехзод"" - агент по недвижимости",,,Gʻishtli,Alohida ajratilgan,,,Evrotaʼmir
