seller_type,house_type,rooms,area_m2,floor,floors_total,build_type,planning,bathroom,furnished,includes,nearby,commission,description,city,url
Частное лицо,,,,,,,,,,,,,ОписаниеПродается СВОЯ 3х комнатная квартира на 2м этаже Мархабо Сангизар. Цена 58.500$ только за наличные. Звонить с 9.00 до 23.00 по номеру +99891 540 11 86,,https://www.olx.uz/d/obyavlenie/prodaetsya-3h-komnatnaya-kvartira-marhabo-sangizar-ID43tUB.html
Частное лицо,,,,,,,,,,,,,ОписаниеГород - ТашкентРайон - Мирзо УлугбекскийУлица/-  Карасу-6  БазарКомнат -2/3+2Этаж -1+1 ДублексПлощадь м² -62+62Состояние -  НовойОписание - уютная квартира и хорошое расположениеЦена - 125000 $Телефон  +998901000202Топли пол 100%JOXA0202 Telegram62 kv m2 +1 Remont  Qilingan62 kv m2  -1 Remontsiz,,https://www.olx.uz/d/obyavlenie/karasu-6-rayon-mirzo-ulugbekskiy-2-3-2-dubleks-ulitsa-karasu-6-ID44Tpi.html
Частное лицо,,,,,,,,,,,,,ОписаниеManzil:Qora qamish 1/2 28 dom 3 etajUy 83 kvadrat 4 xonaSrochno sotiladiNarx kelishilad,,https://www.olx.uz/d/obyavlenie/4-xonali-uy-sotiladi-ID46bGn.html
Бизнес,,,,,,,,,,,,,ОписаниеСрочно продается ПаркентскийЗавод шампанских вин2/2/9Площадь 65м2Без ремонтаОтдельный входЦена:67.001$+998909553948+998332092929,,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-kvartira-2-2-9-otdelnyy-vhod-parkentskiy-ID45rj5.html
Бизнес,,,,,,,,,,,,,"ОписаниеПродаётся 2-х комнатная квартираКирпичный ДомОриентир: гостиница СаехатКомнат: 2Этаж: 4Этажность: 5Общая площадь: 56 м2Лоджия: 2*6Состояние: без ремонтаОдин (1) санузелНе у дороги, не торцеваяЦена: 63.000 y.e./торг+998909946644 Улугбекt.me/akhulugbek",,https://www.olx.uz/d/obyavlenie/prodaetsya-2-komnatnaya-kvartira-gostinitsa-saehat-ID45riQ.html
Бизнес,,,,,,,,,,,,,"ОписаниеПродается 2/4/5. 52м²Кирпич, балкон 2х6Состояние хорошее, зайти житьМаксим Горький,ост.Художников63.700+998901212521",,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-2kom-kvartira-maksim-gorkiy-hudozhnik-ID3ZIzS.html
Частное лицо,,,,,,,,,,,,,ОписаниеСрочно продам Заправку Адрес Чалак ШахриЗвонить реальном покупателем для иформации тел;98 137 07 74,,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-ID3zVFQ.html
Бизнес,,,,,,,,,,,,,"ОписаниеПродаётся КвартираЧиланзар 3 квартал2в3/4/4Орентир: Клиника Эстимед ,Торговый центрПлощадь:46кв.мТип строения панельАбсолютно новый ЕВРО ремонтПолностью упакованаБалкон 1.5х3Планировка зеркалка,смежкаЦена:73.500 $Телефон:+998872601515",,https://www.olx.uz/d/obyavlenie/chilanzar-3-kvartal-2v3-4-4-or-r-torgovyy-tsentr-ID45n81.html
Бизнес,,,,,,,,,,,,,"ОписаниеЖК ""БАРОККО"" 4/9/10Ориентир ГидрометцентрОриентир финан.институтОБЩАЯ ПЛОЩАДЬ: 150м2Полноценная 4 комнатнаяВсе комнаты раздельныеДва (2) санузла; прачечная;КВАРТИРА КЛАССА ЛЮКСАВТОРСКИЙ ЕВРО РЕМОНТПолностью укомплектованаМЕБЕЛЬЮ И ТЕХНИКОЙ FULLЦЕНА: 420.000 у.е./торг",,https://www.olx.uz/d/obyavlenie/zhk-barokko-4-9-10-evrolyuks-150m2-novyy-remont-novomoskovskaya-ID45riK.html
Бизнес,,,,,,,,,,,,,ОписаниеЧиланзар 23 Квартал2\2\5Средний ремонтКирпичный домРазделкаЦена 50.500$Звоните по номеру +998992843233.Или напишите в телеграм!,,https://www.olx.uz/d/obyavlenie/razdelka-chilanzar-23-kvartal-2-2-5-prodaetsya-kvartira-ID45Qnl.html
Частное лицо,,,,,,,,,,,,,ОписаниеСрочно продаётся дом 2 этажный котеджный,,https://www.olx.uz/d/obyavlenie/srochno-satylady-zhay-ID3pc41.html
Частное лицо,,,,,,,,,,,,,"Описание3 хоналик уйимизни сотамиз. Хоналари алохида алохида. Уйимиз Сергели 3- ва 4-метродан унча узок булмаган, жамоат транспортига ва кулайликларга жуда якин жойлашган. Уй олдида машина учун шахсий автотрураргохимиз мавжуд. 2021 йил октябрда фойдаланишга топширилган! 2022 йил февралда сотиб олинган. Бошка уйга кучаетганлигимиз сабабли сотувга чикардик. Файзли, баракали хонадон!Кухонный мебель, кондиционер, пардалар, коридордаги катта мебель шкаф колади!+998974640052",,https://www.olx.uz/d/obyavlenie/srochno-yangihaet-tumani-9-kurilish-hududi-3-4-16-ID3ZllA.html
Бизнес,,,,,,,,,,,,,"ОписаниеПродаётся чистая 3-комн квартира на 6 этаже 9-этажного дома.     Общая площадь 80 м2.     +AKFA рамы, решетки на окнах.Квартира чистая.Можно в ипотекуСергели.    Массив Строитель.Звоните +998903973232.",,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-3-komn-mozhno-ipoteka-massiv-stroitel-sergeli-ID3TphR.html
Частное лицо,,,,,,,,,,,,,"ОписаниеПродаётся 4-комнатная квартира в новостройке, Чиланзар, 17-й кварталЦена с мебелью и техникой: 260 000$Цена без мебели и техники: 225 000$Просторная и светлая квартира с евроремонтом в одном из самых удобных районов города!Адрес: Чиланзар, 17-й квартал, новостройкаЭтаж: 3 из 4Площадь: 150 м²Количество комнат: 4Квартира продаётся с мебелью и всей необходимой бытовой техникой — заезжай и живи!Выполнен качественный евроремонт с использованием современных материаловПрочный кирпичный дом – стены двойные, отличная тепло- и шумоизоляцияПросторная кухня, уютная гостиная, отдельные спальниЧистый подъезд, спокойные соседи, благоустроенный дворОтличный вариант для большой семьи. Удобная локация: рядом школы, детские сады, супермаркеты, остановки общественного транспорта.",,https://www.olx.uz/d/obyavlenie/prodaetsya-4-komnatnaya-kvartira-v-novostroyke-chilanzar-17-y-kvartal-ID45M9Z.html
Бизнес,,,,,,,,,,,,,"ОписаниеНОВОСТРОЙКА 4/1/8 кирпичДвухуровневая квартираПаркетский (Завод шампанских вин)ЖК ""Mashxadi ResidenceПаркентский ор.""Пеннаяул.Султонали МашхадийЗаселение - 50%УСЛУГИ РИЭЛТОРОВ ПРИВЕТСТВУЮТСЯ4 комнатная; 1 этажПлощадь 121 кв:1 этаж = 81 квЦоколь = 40 квСостояние: КоробкаКадастр на рукахЦЕНА: 100.000 СРОЧНОТел: +99897 774 7722Телеграмм: +99897 776 7722",,https://www.olx.uz/d/obyavlenie/prodayu-svoyu-korobku-121-kv-825-u-e-za-kv-kadastr-est-ID3FZFe.html
Частное лицо,,,,,,,,,,,,,"ОписаниеПродаеться своя 3-х комнатная квартира в Олмазор сити , Новый ремонт никто не жил все новое",,https://www.olx.uz/d/obyavlenie/prodaetsya-3-h-komntanaya-kvartira-v-olmazar-city-olmazor-siti-ID44M9l.html
Бизнес,,,,,,,,,,,,,ОписаниеДархан 75м23/4/9 панел//Мебель + техника///Балкон 1*7Не торец//Комнаты раздельный //Санузел раздельныйOrientir Физкультурный Институт//Цена 93000 Срочно////Telefon +998909542979//,,https://www.olx.uz/d/obyavlenie/drarxan-74m2-3-4-9-srochno-balkon-1-7-uspey-kupit-ID452kx.html
Частное лицо,,,,,,,,,,,,,"ОписаниеПродам или обменяю 2х комнатную квартиру в 2х этажном кирпичном доме, на 1 этаже, общей площадью 57 кв.м. в районе городской больницы, очень хорошее место для открытия любого бизнеса,можно магазин. салон красоты, процедурный, массажный, офис и.т.д. все коммуникации имеются также есть прилегающая территория, ко оруб можно использовать во своих целях, можно жить работать в помещении. Рассмотрю варианты обмена !Все подробности по номеру+99890 3581853 , если не возьму трубку, оставьте смс сообщение,, а я вам позже перезвоню.",,https://www.olx.uz/d/obyavlenie/prodaetsya-2h-komnatnaya-kvartira-nezhiloe-rassmotryu-varianty-obmena-ID46fUY.html
